Financial Ratio Edge Cases
============================================================

ABB Dec 2012 | ROE Difference = 12.49%
HDFCLIFE Mar 2016 | ROCE Difference = 547.27%
HDFCLIFE Mar 2017 | ROE Difference = 11.78%
HDFCLIFE Mar 2017 | ROCE Difference = 768.98%
HDFCLIFE Mar 2018 | ROE Difference = 12.13%
HDFCLIFE Mar 2018 | ROCE Difference = 656.22%
HDFCLIFE Mar 2019 | ROE Difference = 11.25%
HDFCLIFE Mar 2019 | ROCE Difference = 660.53%
HDFCLIFE Mar 2020 | ROE Difference = 7.65%
HDFCLIFE Mar 2020 | ROCE Difference = 408.24%
HDFCLIFE Mar 2021 | ROCE Difference = 754.15%
HDFCLIFE Mar 2022 | ROCE Difference = 402.59%
HDFCLIFE Mar 2023 | ROCE Difference = 496.34%
HDFCLIFE Mar 2024 | ROCE Difference = 639.85%
HEROMOTOCO Mar 2014 | ROE Difference = 15.38%
HEROMOTOCO Mar 2014 | ROCE Difference = 338.63%
HEROMOTOCO Mar 2015 | ROE Difference = 14.15%
HEROMOTOCO Mar 2015 | ROCE Difference = 332.62%
HEROMOTOCO Mar 2016 | ROE Difference = 13.23%
HEROMOTOCO Mar 2016 | ROCE Difference = 235.99%
HEROMOTOCO Mar 2017 | ROE Difference = 12.37%
HEROMOTOCO Mar 2017 | ROCE Difference = 198.04%
HEROMOTOCO Mar 2018 | ROE Difference = 9.09%
HEROMOTOCO Mar 2018 | ROCE Difference = 193.23%
HEROMOTOCO Mar 2019 | ROCE Difference = 186.40%
HEROMOTOCO Mar 2020 | ROCE Difference = 140.39%
HEROMOTOCO Mar 2021 | ROCE Difference = 139.04%
HEROMOTOCO Mar 2022 | ROE Difference = 7.30%
HEROMOTOCO Mar 2022 | ROCE Difference = 130.73%
HEROMOTOCO Mar 2023 | ROE Difference = 5.19%
HEROMOTOCO Mar 2023 | ROCE Difference = 145.42%
HEROMOTOCO Mar 2024 | ROCE Difference = 148.74%
HINDALCO Mar 2013 | ROCE Difference = 67.26%
HINDALCO Mar 2014 | ROCE Difference = 64.32%
HINDALCO Mar 2015 | ROE Difference = 9.52%
HINDALCO Mar 2015 | ROCE Difference = 78.06%
HINDALCO Mar 2016 | ROE Difference = 11.93%
HINDALCO Mar 2016 | ROCE Difference = 72.82%
HINDALCO Mar 2017 | ROE Difference = 6.11%
HINDALCO Mar 2017 | ROCE Difference = 68.67%
HINDALCO Mar 2018 | ROCE Difference = 83.61%
HINDALCO Mar 2019 | ROCE Difference = 93.35%
HINDALCO Mar 2020 | ROCE Difference = 70.65%
HINDALCO Mar 2021 | ROCE Difference = 74.28%
HINDALCO Mar 2022 | ROE Difference = 7.36%
HINDALCO Mar 2022 | ROCE Difference = 105.55%
HINDALCO Mar 2023 | ROCE Difference = 118.00%
HINDALCO Mar 2024 | ROCE Difference = 106.91%
HINDUNILVR Mar 2013 | ROE Difference = 113.80%
HINDUNILVR Mar 2013 | ROCE Difference = 761.17%
HINDUNILVR Mar 2014 | ROE Difference = 91.65%
HINDUNILVR Mar 2014 | ROCE Difference = 655.89%
HINDUNILVR Mar 2015 | ROE Difference = 88.47%
HINDUNILVR Mar 2015 | ROCE Difference = 625.38%
HINDUNILVR Mar 2016 | ROE Difference = 42.95%
HINDUNILVR Mar 2016 | ROCE Difference = 362.07%
HINDUNILVR Mar 2017 | ROE Difference = 46.38%
HINDUNILVR Mar 2017 | ROCE Difference = 355.00%
HINDUNILVR Mar 2018 | ROE Difference = 51.59%
HINDUNILVR Mar 2018 | ROCE Difference = 357.99%
HINDUNILVR Mar 2019 | ROE Difference = 56.83%
HINDUNILVR Mar 2019 | ROCE Difference = 354.80%
HINDUNILVR Mar 2020 | ROE Difference = 61.90%
HINDUNILVR Mar 2020 | ROCE Difference = 336.42%
HINDUNILVR Mar 2021 | ROCE Difference = 47.06%
HINDUNILVR Mar 2022 | ROCE Difference = 51.81%
HINDUNILVR Mar 2023 | ROCE Difference = 62.92%
HINDUNILVR Mar 2024 | ROCE Difference = 62.43%
ICICIBANK Mar 2016 | ROE Difference = 7.19%
ICICIBANK Mar 2017 | ROE Difference = 7.96%
ICICIBANK Mar 2018 | ROE Difference = 10.57%
ICICIBANK Mar 2019 | ROE Difference = 13.82%
ICICIBANK Mar 2020 | ROE Difference = 9.67%
ICICIBANK Mar 2021 | ROE Difference = 5.88%
ICICIGI Mar 2013 | ROCE Difference = 201.62%
ICICIGI Mar 2014 | ROCE Difference = 168.73%
ICICIGI Mar 2015 | ROCE Difference = 131.90%
ICICIGI Mar 2016 | ROCE Difference = 140.27%
ICICIGI Mar 2017 | ROCE Difference = 128.00%
ICICIGI Mar 2018 | ROCE Difference = 120.24%
ICICIGI Mar 2019 | ROCE Difference = 138.83%
ICICIGI Mar 2020 | ROCE Difference = 124.73%
ICICIGI Mar 2021 | ROCE Difference = 102.31%
ICICIGI Mar 2022 | ROCE Difference = 136.37%
ICICIGI Mar 2023 | ROCE Difference = 136.03%
ICICIGI Mar 2024 | ROCE Difference = 123.82%
ICICIPRULI Mar 2013 | ROE Difference = 30.18%
ICICIPRULI Mar 2013 | ROCE Difference = 478.00%
ICICIPRULI Mar 2014 | ROE Difference = 27.54%
ICICIPRULI Mar 2014 | ROCE Difference = 456.32%
ICICIPRULI Mar 2015 | ROE Difference = 23.08%
ICICIPRULI Mar 2015 | ROCE Difference = 614.19%
ICICIPRULI Mar 2016 | ROE Difference = 22.93%
ICICIPRULI Mar 2016 | ROCE Difference = 290.49%
ICICIPRULI Mar 2017 | ROE Difference = 18.19%
ICICIPRULI Mar 2017 | ROCE Difference = 553.38%
ICICIPRULI Mar 2018 | ROE Difference = 16.56%
ICICIPRULI Mar 2018 | ROCE Difference = 555.02%
ICICIPRULI Mar 2019 | ROE Difference = 8.51%
ICICIPRULI Mar 2019 | ROCE Difference = 586.83%
ICICIPRULI Mar 2020 | ROE Difference = 6.72%
ICICIPRULI Mar 2020 | ROCE Difference = 287.16%
ICICIPRULI Mar 2021 | ROCE Difference = 801.92%
ICICIPRULI Mar 2022 | ROCE Difference = 625.81%
ICICIPRULI Mar 2023 | ROCE Difference = 453.92%
ICICIPRULI Mar 2024 | ROCE Difference = 746.15%
INDUSINDBK Mar 2013 | ROCE Difference = 5.20%
INDUSINDBK Mar 2021 | ROE Difference = 8.66%
INDUSINDBK Mar 2022 | ROE Difference = 5.53%
INFY Mar 2013 | ROE Difference = 6.98%
INFY Mar 2013 | ROCE Difference = 9.63%
INFY Mar 2014 | ROE Difference = 7.87%
INFY Mar 2014 | ROCE Difference = 9.93%
INFY Mar 2015 | ROE Difference = 7.41%
INFY Mar 2015 | ROCE Difference = 10.67%
INFY Mar 2016 | ROE Difference = 9.95%
INFY Mar 2016 | ROCE Difference = 12.34%
INFY Mar 2017 | ROE Difference = 10.99%
INFY Mar 2017 | ROCE Difference = 13.03%
INFY Mar 2018 | ROE Difference = 7.11%
INFY Mar 2018 | ROCE Difference = 11.01%
INFY Mar 2019 | ROE Difference = 8.07%
INFY Mar 2019 | ROCE Difference = 8.94%
INFY Mar 2020 | ROE Difference = 6.38%
INFY Mar 2020 | ROCE Difference = 8.23%
INFY Mar 2021 | ROE Difference = 6.36%
INFY Mar 2021 | ROCE Difference = 5.85%
IOC Mar 2013 | ROE Difference = 19.69%
IOC Mar 2013 | ROCE Difference = 12.23%
IOC Mar 2014 | ROE Difference = 15.18%
IOC Mar 2014 | ROCE Difference = 10.73%
IOC Mar 2015 | ROE Difference = 18.36%
IOC Mar 2015 | ROCE Difference = 13.40%
IOC Mar 2016 | ROE Difference = 11.64%
IOC Mar 2016 | ROCE Difference = 6.47%
IOC Mar 2017 | ROE Difference = 5.47%
IOC Mar 2018 | ROE Difference = 5.57%
IOC Mar 2019 | ROE Difference = 10.08%
IOC Mar 2020 | ROE Difference = 27.41%
IOC Mar 2020 | ROCE Difference = 14.18%
IOC Mar 2021 | ROE Difference = 5.98%
IOC Mar 2022 | ROE Difference = 6.17%
IOC Mar 2023 | ROE Difference = 17.06%
IOC Mar 2023 | ROCE Difference = 10.68%
IRCTC Mar 2015 | ROE Difference = 10.90%
IRCTC Mar 2015 | ROCE Difference = 19.57%
IRCTC Mar 2016 | ROE Difference = 5.53%
IRCTC Mar 2016 | ROCE Difference = 18.74%
IRCTC Mar 2017 | ROE Difference = 11.30%
IRCTC Mar 2017 | ROCE Difference = 13.90%
IRCTC Mar 2018 | ROE Difference = 17.26%
IRCTC Mar 2018 | ROCE Difference = 25.11%
IRCTC Mar 2019 | ROE Difference = 11.55%
IRCTC Mar 2019 | ROCE Difference = 18.04%
IRCTC Mar 2021 | ROE Difference = 27.56%
IRCTC Mar 2021 | ROCE Difference = 41.55%
IRCTC Mar 2022 | ROE Difference = 5.11%
IRCTC Mar 2022 | ROCE Difference = 9.55%
IRCTC Mar 2024 | ROE Difference = 6.00%
IRCTC Mar 2024 | ROCE Difference = 9.24%
IRFC Mar 2016 | ROE Difference = 6.33%
IRFC Mar 2017 | ROE Difference = 5.92%
ITC Mar 2013 | ROCE Difference = 13.48%
ITC Mar 2014 | ROCE Difference = 12.84%
ITC Mar 2015 | ROCE Difference = 9.77%
ITC Mar 2016 | ROE Difference = 7.21%
ITC Mar 2017 | ROE Difference = 6.90%
ITC Mar 2018 | ROE Difference = 7.58%
ITC Mar 2019 | ROE Difference = 7.77%
ITC Mar 2020 | ROE Difference = 5.58%
ITC Mar 2020 | ROCE Difference = 5.25%
ITC Mar 2021 | ROE Difference = 7.29%
ITC Mar 2021 | ROCE Difference = 6.61%
JINDALSTEL Mar 2014 | ROE Difference = 5.71%
JINDALSTEL Mar 2015 | ROE Difference = 21.00%
JINDALSTEL Mar 2016 | ROE Difference = 23.62%
JINDALSTEL Mar 2016 | ROCE Difference = 8.86%
JINDALSTEL Mar 2017 | ROE Difference = 22.55%
JINDALSTEL Mar 2017 | ROCE Difference = 7.00%
JINDALSTEL Mar 2018 | ROE Difference = 19.42%
JINDALSTEL Mar 2019 | ROE Difference = 21.62%
JINDALSTEL Mar 2020 | ROE Difference = 15.34%
JINDALSTEL Mar 2022 | ROCE Difference = 18.38%
JINDALSTEL Mar 2023 | ROCE Difference = 6.01%
JSWENERGY Mar 2013 | ROE Difference = 6.12%
JSWENERGY Mar 2013 | ROCE Difference = 8.30%
JSWENERGY Mar 2014 | ROCE Difference = 10.93%
JSWENERGY Mar 2015 | ROE Difference = 9.66%
JSWENERGY Mar 2015 | ROCE Difference = 12.97%
JSWENERGY Mar 2016 | ROE Difference = 6.65%
JSWENERGY Mar 2016 | ROCE Difference = 7.81%
JSWENERGY Mar 2018 | ROE Difference = 7.63%
JSWENERGY Mar 2020 | ROCE Difference = 5.17%
JSWSTEEL Mar 2013 | ROE Difference = 6.22%
JSWSTEEL Mar 2014 | ROE Difference = 9.76%
JSWSTEEL Mar 2016 | ROE Difference = 14.20%
JSWSTEEL Mar 2017 | ROCE Difference = 5.29%
JSWSTEEL Mar 2018 | ROE Difference = 10.17%
JSWSTEEL Mar 2018 | ROCE Difference = 8.77%
JSWSTEEL Mar 2019 | ROE Difference = 9.96%
JSWSTEEL Mar 2019 | ROCE Difference = 9.67%
JSWSTEEL Mar 2021 | ROE Difference = 5.18%
JSWSTEEL Mar 2021 | ROCE Difference = 5.13%
JSWSTEEL Mar 2022 | ROE Difference = 19.45%
JSWSTEEL Mar 2022 | ROCE Difference = 14.67%
JSWSTEEL Mar 2023 | ROE Difference = 5.36%
LICI Mar 2019 | ROE Difference = 260.71%
LICI Mar 2019 | ROCE Difference = 61.60%
LICI Mar 2020 | ROE Difference = 206.85%
LICI Mar 2020 | ROCE Difference = 66.52%
LICI Mar 2021 | ROE Difference = 20.41%
LICI Mar 2021 | ROCE Difference = 67.45%
LICI Mar 2022 | ROE Difference = 27.23%
LICI Mar 2022 | ROCE Difference = 34.46%
LICI Mar 2023 | ROE Difference = 14.25%
LICI Mar 2023 | ROCE Difference = 10.20%
LICI Mar 2024 | ROE Difference = 14.16%
LICI Mar 2024 | ROCE Difference = 24.18%
LODHA Mar 2016 | ROE Difference = 6.99%
LODHA Mar 2018 | ROCE Difference = 5.04%
LODHA Mar 2019 | ROE Difference = 32.10%
LODHA Mar 2020 | ROE Difference = 5.60%
LODHA Mar 2021 | ROE Difference = 9.66%
LODHA Mar 2021 | ROCE Difference = 5.03%
LODHA Mar 2023 | ROE Difference = 6.83%
LT Mar 2013 | ROE Difference = 384.66%
LT Mar 2013 | ROCE Difference = 707.17%
LT Mar 2014 | ROE Difference = 292.93%
LT Mar 2014 | ROCE Difference = 801.77%
LT Mar 2015 | ROE Difference = 234.62%
LT Mar 2015 | ROCE Difference = 681.75%
LT Mar 2016 | ROE Difference = 205.60%
LT Mar 2016 | ROCE Difference = 693.19%
LT Mar 2017 | ROE Difference = 195.81%
LT Mar 2017 | ROCE Difference = 511.45%
LT Mar 2018 | ROE Difference = 196.87%
LT Mar 2018 | ROCE Difference = 503.83%
LT Mar 2019 | ROE Difference = 198.32%
LT Mar 2019 | ROCE Difference = 450.14%
LT Mar 2020 | ROE Difference = 191.10%
LT Mar 2020 | ROCE Difference = 371.56%
LT Mar 2021 | ROE Difference = 166.41%
LT Mar 2021 | ROCE Difference = 272.38%
LT Mar 2022 | ROE Difference = 62.43%
LT Mar 2022 | ROCE Difference = 149.97%
LT Mar 2023 | ROE Difference = 65.03%
LT Mar 2023 | ROCE Difference = 132.64%
LT Mar 2024 | ROE Difference = 67.18%
LT Mar 2024 | ROCE Difference = 118.02%
LTIM Mar 2013 | ROE Difference = 15.93%
LTIM Mar 2013 | ROCE Difference = 21.21%
LTIM Mar 2014 | ROE Difference = 35.82%
LTIM Mar 2014 | ROCE Difference = 32.59%
LTIM Mar 2015 | ROE Difference = 11.92%
LTIM Mar 2015 | ROCE Difference = 10.69%
LTIM Mar 2016 | ROE Difference = 13.30%
LTIM Mar 2016 | ROCE Difference = 13.06%
LTIM Mar 2017 | ROCE Difference = 5.02%
LTIM Mar 2024 | ROCE Difference = 5.19%
M&M Mar 2013 | ROCE Difference = 8.25%
M&M Mar 2014 | ROCE Difference = 9.59%
M&M Mar 2015 | ROCE Difference = 13.19%
M&M Mar 2016 | ROCE Difference = 12.16%
M&M Mar 2017 | ROCE Difference = 13.31%
M&M Mar 2018 | ROCE Difference = 12.71%
M&M Mar 2019 | ROCE Difference = 13.26%
M&M Mar 2020 | ROE Difference = 18.79%
M&M Mar 2020 | ROCE Difference = 18.66%
M&M Mar 2021 | ROE Difference = 14.35%
M&M Mar 2021 | ROCE Difference = 17.58%
M&M Mar 2022 | ROCE Difference = 15.21%
M&M Mar 2023 | ROCE Difference = 13.33%
M&M Mar 2024 | ROCE Difference = 12.74%
MARUTI Mar 2016 | ROCE Difference = 5.58%
MARUTI Mar 2020 | ROCE Difference = 8.84%
MARUTI Mar 2021 | ROE Difference = 7.39%
MARUTI Mar 2021 | ROCE Difference = 13.47%
MARUTI Mar 2022 | ROE Difference = 8.74%
MARUTI Mar 2022 | ROCE Difference = 13.35%
MARUTI Mar 2023 | ROCE Difference = 6.37%
MOTHERSON Mar 2013 | ROE Difference = 7.95%
MOTHERSON Mar 2013 | ROCE Difference = 6.88%
MOTHERSON Mar 2014 | ROE Difference = 25.27%
MOTHERSON Mar 2014 | ROCE Difference = 17.03%
MOTHERSON Mar 2015 | ROE Difference = 27.07%
MOTHERSON Mar 2015 | ROCE Difference = 19.94%
MOTHERSON Mar 2016 | ROE Difference = 28.55%
MOTHERSON Mar 2016 | ROCE Difference = 20.20%
MOTHERSON Mar 2017 | ROE Difference = 14.46%
MOTHERSON Mar 2017 | ROCE Difference = 8.70%
MOTHERSON Mar 2018 | ROE Difference = 11.07%
MOTHERSON Mar 2018 | ROCE Difference = 11.61%
MOTHERSON Mar 2019 | ROE Difference = 7.34%
MOTHERSON Mar 2019 | ROCE Difference = 10.07%
MOTHERSON Mar 2020 | ROCE Difference = 5.38%
MOTHERSON Mar 2022 | ROE Difference = 6.06%
MOTHERSON Mar 2024 | ROCE Difference = 6.53%
NAUKRI Mar 2013 | ROE Difference = 10.06%
NAUKRI Mar 2013 | ROCE Difference = 16.22%
NAUKRI Mar 2014 | ROE Difference = 6.49%
NAUKRI Mar 2014 | ROCE Difference = 10.76%
NAUKRI Mar 2016 | ROE Difference = 5.21%
NAUKRI Mar 2017 | ROE Difference = 5.14%
NAUKRI Mar 2018 | ROE Difference = 22.06%
NAUKRI Mar 2018 | ROCE Difference = 7.05%
NAUKRI Mar 2019 | ROE Difference = 20.84%
NAUKRI Mar 2020 | ROE Difference = 13.65%
NAUKRI Mar 2020 | ROCE Difference = 19.05%
NAUKRI Mar 2021 | ROE Difference = 23.84%
NAUKRI Mar 2022 | ROE Difference = 72.27%
NESTLEIND Dec 2013 | ROE Difference = 88.44%
NESTLEIND Dec 2013 | ROCE Difference = 130.66%
NESTLEIND Dec 2014 | ROE Difference = 93.84%
NESTLEIND Dec 2014 | ROCE Difference = 114.06%
NESTLEIND Dec 2015 | ROE Difference = 115.62%
NESTLEIND Dec 2015 | ROCE Difference = 130.58%
NESTLEIND Dec 2016 | ROE Difference = 105.11%
NESTLEIND Dec 2016 | ROCE Difference = 129.62%
NESTLEIND Dec 2017 | ROE Difference = 99.79%
NESTLEIND Dec 2017 | ROCE Difference = 124.74%
NESTLEIND Dec 2018 | ROE Difference = 91.86%
NESTLEIND Dec 2018 | ROCE Difference = 114.83%
NESTLEIND Dec 2019 | ROE Difference = 33.00%
NESTLEIND Dec 2019 | ROCE Difference = 46.56%
NESTLEIND Dec 2020 | ROE Difference = 32.49%
NESTLEIND Dec 2020 | ROCE Difference = 37.60%
NESTLEIND Dec 2021 | ROE Difference = 26.77%
NESTLEIND Dec 2021 | ROCE Difference = 24.40%
NESTLEIND Dec 2022 | ROE Difference = 38.38%
NESTLEIND Dec 2022 | ROCE Difference = 49.68%
NESTLEIND Dec 2023 | ROE Difference = 13.65%
NESTLEIND Dec 2023 | ROCE Difference = 21.66%
NESTLEIND Mar 2024 | ROE Difference = 17.86%
NESTLEIND Mar 2024 | ROCE Difference = 27.68%
ONGC Mar 2013 | ROCE Difference = 5.40%
ONGC Mar 2016 | ROE Difference = 7.70%
ONGC Mar 2020 | ROE Difference = 8.73%
ONGC Mar 2021 | ROCE Difference = 5.74%
PFC Mar 2013 | ROCE Difference = 6.29%
PFC Mar 2014 | ROCE Difference = 5.89%
PFC Mar 2015 | ROCE Difference = 6.13%
PFC Mar 2016 | ROCE Difference = 6.09%
PFC Mar 2017 | ROE Difference = 13.42%
PFC Mar 2017 | ROCE Difference = 7.76%
PFC Mar 2018 | ROCE Difference = 7.52%
PFC Mar 2019 | ROE Difference = 7.33%
PFC Mar 2019 | ROCE Difference = 6.93%
PFC Mar 2020 | ROCE Difference = 7.79%
PFC Mar 2021 | ROE Difference = 6.37%
PFC Mar 2021 | ROCE Difference = 7.20%
PFC Mar 2022 | ROE Difference = 6.69%
PFC Mar 2022 | ROCE Difference = 6.77%
PFC Mar 2023 | ROE Difference = 5.68%
PFC Mar 2023 | ROCE Difference = 6.79%
PFC Mar 2024 | ROE Difference = 6.67%
PFC Mar 2024 | ROCE Difference = 6.47%
PIDILITIND Mar 2016 | ROE Difference = 7.79%
PIDILITIND Mar 2016 | ROCE Difference = 13.46%
PIDILITIND Mar 2017 | ROCE Difference = 5.66%
PIDILITIND Mar 2018 | ROCE Difference = 6.55%
PNB Mar 2013 | ROE Difference = 803.60%
PNB Mar 2014 | ROE Difference = 384.66%
PNB Mar 2015 | ROE Difference = 214.54%
PNB Mar 2016 | ROE Difference = 172.26%
PNB Mar 2017 | ROE Difference = 13.51%
PNB Mar 2018 | ROE Difference = 193.07%
PNB Mar 2019 | ROE Difference = 137.15%
PNB Mar 2021 | ROE Difference = 21.69%
PNB Mar 2022 | ROE Difference = 31.17%
PNB Mar 2023 | ROE Difference = 21.97%
PNB Mar 2024 | ROE Difference = 52.62%
POWERGRID Mar 2014 | ROE Difference = 5.89%
POWERGRID Mar 2015 | ROE Difference = 5.87%
POWERGRID Mar 2016 | ROE Difference = 5.45%
POWERGRID Mar 2023 | ROCE Difference = 5.50%
POWERGRID Mar 2024 | ROCE Difference = 5.71%
RECLTD Mar 2018 | ROE Difference = 8.54%
RECLTD Mar 2019 | ROE Difference = 5.58%
RECLTD Mar 2020 | ROE Difference = 8.15%
SBILIFE Mar 2013 | ROE Difference = 11.03%
SBILIFE Mar 2014 | ROE Difference = 9.69%
SBILIFE Mar 2015 | ROE Difference = 8.09%
SBILIFE Mar 2015 | ROCE Difference = 6.38%
SBILIFE Mar 2016 | ROE Difference = 5.83%
SBILIFE Mar 2016 | ROCE Difference = 6.24%
SBILIFE Mar 2017 | ROE Difference = 5.20%
SBILIFE Mar 2017 | ROCE Difference = 6.04%
SBILIFE Mar 2018 | ROE Difference = 5.62%
SBILIFE Mar 2018 | ROCE Difference = 7.20%
SBILIFE Mar 2019 | ROE Difference = 5.52%
SBILIFE Mar 2019 | ROCE Difference = 6.26%
SBILIFE Mar 2022 | ROCE Difference = 6.92%
SBILIFE Mar 2023 | ROCE Difference = 12.26%
SBILIFE Mar 2024 | ROCE Difference = 11.55%
SHREECEM Jun 2013 | ROE Difference = 13.92%
SHREECEM Jun 2013 | ROCE Difference = 15.62%
SHREECEM Jun 2014 | ROCE Difference = 8.72%
SHREECEM Jun 2015 | ROCE Difference = 6.90%
SHREECEM Mar 2017 | ROE Difference = 5.19%
SHREECEM Mar 2017 | ROCE Difference = 13.15%
SHREECEM Mar 2018 | ROCE Difference = 5.31%
SHREECEM Mar 2019 | ROCE Difference = 7.62%
SHREECEM Mar 2020 | ROCE Difference = 8.31%
SHREECEM Mar 2021 | ROCE Difference = 8.41%
SHREECEM Mar 2024 | ROCE Difference = 5.41%
SHRIRAMFIN Mar 2013 | ROCE Difference = 5.95%
SHRIRAMFIN Mar 2014 | ROCE Difference = 7.06%
SHRIRAMFIN Mar 2015 | ROCE Difference = 8.28%
SHRIRAMFIN Mar 2016 | ROCE Difference = 8.26%
SHRIRAMFIN Mar 2017 | ROCE Difference = 8.24%
SHRIRAMFIN Mar 2018 | ROCE Difference = 7.33%
SHRIRAMFIN Mar 2019 | ROCE Difference = 7.64%
SHRIRAMFIN Mar 2020 | ROCE Difference = 8.14%
SHRIRAMFIN Mar 2021 | ROCE Difference = 8.65%
SHRIRAMFIN Mar 2022 | ROE Difference = 5.47%
SHRIRAMFIN Mar 2022 | ROCE Difference = 8.70%
SHRIRAMFIN Mar 2023 | ROCE Difference = 7.06%
SHRIRAMFIN Mar 2024 | ROCE Difference = 7.00%
SIEMENS Sep 2011 | ROCE Difference = 5.09%
SIEMENS Sep 2014 | ROE Difference = 5.32%
SIEMENS Sep 2014 | ROCE Difference = 22.88%
SIEMENS Sep 2015 | ROCE Difference = 6.19%
SIEMENS Sep 2016 | ROE Difference = 23.73%
SIEMENS Sep 2016 | ROCE Difference = 10.65%
SIEMENS Sep 2017 | ROCE Difference = 11.87%
SIEMENS Sep 2018 | ROE Difference = 8.24%
SIEMENS Sep 2018 | ROCE Difference = 9.61%
SIEMENS Sep 2019 | ROE Difference = 6.96%
SIEMENS Sep 2019 | ROCE Difference = 9.13%
SIEMENS Sep 2020 | ROE Difference = 11.00%
SIEMENS Sep 2020 | ROCE Difference = 15.03%
SIEMENS Sep 2021 | ROE Difference = 8.58%
SIEMENS Sep 2021 | ROCE Difference = 11.57%
SIEMENS Sep 2022 | ROE Difference = 5.81%
SIEMENS Sep 2022 | ROCE Difference = 9.83%
SIEMENS Sep 2023 | ROCE Difference = 6.85%
SIEMENS Sep 2024 | ROCE Difference = 5.75%
SUNPHARMA Mar 2013 | ROE Difference = 6.44%
SUNPHARMA Mar 2013 | ROCE Difference = 14.07%
SUNPHARMA Mar 2014 | ROCE Difference = 15.91%
SUNPHARMA Mar 2015 | ROCE Difference = 5.49%
SUNPHARMA Mar 2018 | ROE Difference = 10.07%
SUNPHARMA Mar 2018 | ROCE Difference = 5.74%
SUNPHARMA Mar 2019 | ROE Difference = 8.95%
SUNPHARMA Mar 2019 | ROCE Difference = 5.02%
SUNPHARMA Mar 2020 | ROE Difference = 7.48%
SUNPHARMA Mar 2021 | ROE Difference = 11.81%
SUNPHARMA Mar 2022 | ROE Difference = 9.64%
TATACONSUM Mar 2016 | ROE Difference = 8.91%
TATACONSUM Mar 2016 | ROCE Difference = 5.78%
TATAMOTORS Mar 2013 | ROE Difference = 22.89%
TATAMOTORS Mar 2013 | ROCE Difference = 6.82%
TATAMOTORS Mar 2014 | ROE Difference = 27.98%
TATAMOTORS Mar 2014 | ROCE Difference = 7.51%
TATAMOTORS Mar 2015 | ROE Difference = 24.39%
TATAMOTORS Mar 2015 | ROCE Difference = 10.11%
TATAMOTORS Mar 2016 | ROE Difference = 34.61%
TATAMOTORS Mar 2016 | ROCE Difference = 5.79%
TATAMOTORS Mar 2017 | ROE Difference = 36.38%
TATAMOTORS Mar 2018 | ROE Difference = 39.87%
TATAMOTORS Mar 2019 | ROE Difference = 97.13%
TATAMOTORS Mar 2019 | ROCE Difference = 5.27%
TATAMOTORS Mar 2020 | ROE Difference = 68.38%
TATAMOTORS Mar 2020 | ROCE Difference = 10.53%
TATAMOTORS Mar 2021 | ROE Difference = 73.65%
TATAMOTORS Mar 2022 | ROE Difference = 74.78%
TATAMOTORS Mar 2022 | ROCE Difference = 7.16%
TATAMOTORS Mar 2023 | ROE Difference = 43.46%
TATAMOTORS Mar 2024 | ROE Difference = 11.94%
TATAMOTORS Mar 2024 | ROCE Difference = 10.88%
TATAPOWER Mar 2013 | ROE Difference = 10.30%
TATAPOWER Mar 2014 | ROE Difference = 11.20%
TATAPOWER Mar 2015 | ROE Difference = 8.11%
TATAPOWER Mar 2016 | ROCE Difference = 6.93%
TATAPOWER Mar 2018 | ROCE Difference = 7.57%
TATAPOWER Mar 2019 | ROCE Difference = 6.50%
TATASTEEL Mar 2013 | ROE Difference = 27.83%
TATASTEEL Mar 2014 | ROCE Difference = 6.23%
TATASTEEL Mar 2015 | ROE Difference = 19.11%
TATASTEEL Mar 2016 | ROE Difference = 7.69%
TATASTEEL Mar 2016 | ROCE Difference = 7.52%
TATASTEEL Mar 2017 | ROE Difference = 17.57%
TATASTEEL Mar 2018 | ROE Difference = 22.60%
TATASTEEL Mar 2018 | ROCE Difference = 6.99%
TATASTEEL Mar 2019 | ROE Difference = 6.68%
TATASTEEL Mar 2019 | ROCE Difference = 10.25%
TATASTEEL Mar 2021 | ROCE Difference = 11.72%
TATASTEEL Mar 2022 | ROE Difference = 29.93%
TATASTEEL Mar 2022 | ROCE Difference = 26.40%
TATASTEEL Mar 2023 | ROCE Difference = 10.16%
TATASTEEL Mar 2024 | ROE Difference = 11.88%
TATASTEEL Mar 2024 | ROCE Difference = 5.40%
TCS Mar 2013 | ROE Difference = 36.00%
TCS Mar 2013 | ROCE Difference = 17.90%
TCS Mar 2014 | ROE Difference = 38.78%
TCS Mar 2014 | ROCE Difference = 13.48%
TCS Mar 2015 | ROE Difference = 39.10%
TCS Mar 2015 | ROCE Difference = 16.29%
TCS Mar 2016 | ROE Difference = 33.72%
TCS Mar 2016 | ROCE Difference = 21.29%
TCS Mar 2017 | ROE Difference = 30.05%
TCS Mar 2017 | ROCE Difference = 26.95%
TCS Mar 2018 | ROE Difference = 29.88%
TCS Mar 2018 | ROCE Difference = 26.21%
TCS Mar 2019 | ROE Difference = 34.77%
TCS Mar 2019 | ROCE Difference = 20.16%
TCS Mar 2020 | ROE Difference = 38.05%
TCS Mar 2020 | ROCE Difference = 18.68%
TCS Mar 2021 | ROE Difference = 37.15%
TCS Mar 2021 | ROCE Difference = 14.90%
TCS Mar 2022 | ROE Difference = 42.61%
TCS Mar 2022 | ROCE Difference = 9.58%
